Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
26-12-2024 10:00,BMSTL,32.38,34.1,32.36,33.64,2915436.0,0.46,1.26,0.03,4100.0,1.26,824070.5,253.78,True,71.97,2024-12-26,31.94,5.32,0,,27.64,ATH,False,False
26-12-2024 10:00,AKBNK,65.65,66.95,65.6,66.9,26911512.0,0.05,1.25,0.32,284.62,1.25,11057013.0,143.39,True,84.55,2024-12-26,65.05,2.84,0,,58.85,ATH,False,False
26-12-2024 10:00,ENJSA,59.0,59.8,58.95,59.7,562978.0,0.1,0.7,0.02,2700.0,0.7,169432.9,232.27,True,59.09,2024-12-26,58.8,1.53,0,,58.8,60.1,False,False
26-12-2024 10:00,BJKAS,4.41,4.7,4.41,4.67,23444481.0,0.03,0.26,0.03,712.5,0.26,4115882.7,469.61,True,76.83,2024-12-26,4.4,6.14,0,,4.24,4.74,False,False
26-12-2024 10:00,EREGL,25.18,25.36,25.16,25.32,19404843.0,0.04,0.14,0.0,3.9406496739491896e+16,0.14,9036118.9,114.75,True,58.61,2024-12-26,25.06,1.04,0,,24.56,25.4,False,False
26-12-2024 10:00,BIMAS,513.5,520.0,513.0,519.5,553389.0,0.5,6.0,0.65,823.08,6.0,243045.8,127.69,True,73.72,2024-12-26,511.0,1.66,0,,485.0,522.5,False,False
26-12-2024 10:00,EUPWR,32.14,32.52,31.98,32.5,984378.0,0.02,0.36,0.01,2471.43,0.36,300340.4,227.75,True,54.86,2024-12-26,32.02,1.5,2,31.98,31.98,32.56,False,False
25-12-2024 18:00,ISKPL,18.9,19.1,18.9,19.1,168485.0,0.0,0.2,0.03,506.06,0.2,112210.0,50.15,True,72.47,2024-12-25,18.72,2.03,0,,17.83,ATH,False,False
25-12-2024 17:00,SASA,4.12,4.17,4.11,4.16,86009586.0,0.01,0.04,0.0,900.0,0.04,26277580.4,227.31,True,66.8,2024-12-25,4.04,2.97,0,,4.0,ATH,False,False
25-12-2024 17:00,AKSA,11.5,12.16,11.47,12.05,6471094.0,0.11,0.55,0.04,1427.78,0.55,1982017.9,226.49,True,65.77,2024-12-25,11.5,4.78,1,12.16,11.46,12.16,False,False
25-12-2024 17:00,IPEKE,50.15,50.95,50.0,50.85,730765.0,0.1,0.7,0.11,566.67,0.7,306069.7,138.76,True,64.9,2024-12-25,49.1,3.56,0,,47.92,53.4,False,False
